ID,sex,age,address,famsize,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,famrel,freetime,absences,result
471,F,16,Urban,greater than 3 persons,5th to 9th grade,primary education (4th grade),other,services,course,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,excellent,medium,0,1
472,F,16,Urban,greater than 3 persons,5th to 9th grade,5th to 9th grade,services,other,course,mother,less than 15 min.,less than 2 hours,0,no,yes,yes,yes,yes,yes,no,good,low,0,1
473,M,17,Urban,greater than 3 persons,primary education (4th grade),5th to 9th grade,other,other,course,father,less than 15 min.,less than 2 hours,1,no,yes,no,yes,yes,no,yes,excellent,medium,12,0
474,M,16,Urban,3 persons or less,higher education,secondary education,other,other,course,father,less than 15 min.,less than 2 hours,0,no,no,no,yes,yes,yes,yes,good,low,8,1
475,M,17,Rural,3 persons or less,5th to 9th grade,5th to 9th grade,services,services,other,mother,30 min. to 1 hour,more than 10 hours,1,no,yes,no,no,yes,yes,no,very bad,medium,2,0
476,F,16,Urban,greater than 3 persons,primary education (4th grade),primary education (4th grade),other,other,course,other,less than 15 min.,more than 10 hours,0,yes,yes,no,yes,yes,yes,yes,bad,low,0,1
477,F,19,Urban,3 persons or less,5th to 9th grade,5th to 9th grade,other,other,home,mother,less than 15 min.,5 to 10 hours,0,no,no,no,no,yes,yes,yes,excellent,high,0,1
478,F,17,Rural,greater than 3 persons,primary education (4th grade),primary education (4th grade),at_home,other,reputation,mother,15 to 30 min.,less than 2 hours,0,no,yes,no,yes,no,yes,yes,good,high,0,1
479,F,20,Urban,greater than 3 persons,secondary education,secondary education,at_home,services,other,mother,15 to 30 min.,2 to 5 hours,1,no,no,no,yes,yes,yes,yes,normal,medium,8,1
480,F,17,Urban,3 persons or less,primary education (4th grade),primary education (4th grade),other,services,course,father,less than 15 min.,5 to 10 hours,0,no,yes,no,no,yes,yes,no,good,medium,0,1
481,M,17,Rural,greater than 3 persons,5th to 9th grade,5th to 9th grade,other,other,course,mother,30 min. to 1 hour,less than 2 hours,1,no,yes,no,no,no,yes,yes,good,high,0,0
482,F,16,Rural,3 persons or less,primary education (4th grade),primary education (4th grade),at_home,other,course,father,30 min. to 1 hour,2 to 5 hours,0,no,yes,no,no,yes,yes,no,excellent,medium,0,1
483,F,17,Rural,greater than 3 persons,5th to 9th grade,5th to 9th grade,other,other,reputation,mother,15 to 30 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,excellent,medium,0,1
484,F,17,Urban,greater than 3 persons,primary education (4th grade),none,other,other,other,mother,15 to 30 min.,2 to 5 hours,0,no,no,no,no,yes,yes,yes,good,high,1,1
485,F,18,Rural,greater than 3 persons,primary education (4th grade),primary education (4th grade),at_home,other,other,mother,less than 15 min.,2 to 5 hours,1,no,yes,no,no,yes,yes,yes,good,medium,9,0
486,F,16,Urban,greater than 3 persons,secondary education,primary education (4th grade),other,other,course,mother,less than 15 min.,less than 2 hours,0,no,no,no,yes,yes,yes,yes,normal,very low,0,0
487,F,16,Urban,greater than 3 persons,secondary education,5th to 9th grade,services,at_home,course,mother,less than 15 min.,less than 2 hours,0,no,no,no,no,yes,yes,yes,normal,very low,2,0
488,F,18,Urban,3 persons or less,primary education (4th grade),primary education (4th grade),other,at_home,reputation,mother,15 to 30 min.,2 to 5 hours,0,yes,no,no,no,yes,yes,no,bad,medium,8,1
489,F,16,Rural,greater than 3 persons,higher education,higher education,health,teacher,reputation,father,less than 15 min.,2 to 5 hours,0,no,no,no,yes,no,yes,yes,good,medium,0,1
490,F,16,Rural,3 persons or less,primary education (4th grade),5th to 9th grade,other,other,reputation,mother,15 to 30 min.,less than 2 hours,0,no,no,no,yes,yes,yes,yes,excellent,high,0,1
491,F,18,Urban,greater than 3 persons,5th to 9th grade,higher education,other,services,reputation,father,less than 15 min.,2 to 5 hours,1,no,yes,no,no,yes,yes,yes,bad,medium,8,0
492,M,16,Rural,greater than 3 persons,5th to 9th grade,primary education (4th grade),other,services,reputation,mother,15 to 30 min.,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,excellent,low,0,0
493,F,16,Urban,3 persons or less,primary education (4th grade),primary education (4th grade),at_home,other,other,mother,30 min. to 1 hour,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,good,medium,6,0
494,F,16,Rural,greater than 3 persons,5th to 9th grade,secondary education,at_home,services,other,mother,15 to 30 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,normal,medium,0,1
495,F,16,Urban,greater than 3 persons,higher education,higher education,health,health,course,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,good,medium,4,0
496,M,18,Urban,3 persons or less,higher education,higher education,at_home,health,home,mother,less than 15 min.,more than 10 hours,0,no,yes,no,yes,yes,no,yes,excellent,very high,2,0
497,F,16,Rural,3 persons or less,secondary education,higher education,at_home,other,other,mother,30 min. to 1 hour,2 to 5 hours,0,no,yes,no,no,no,yes,no,good,low,2,0
498,M,17,Urban,3 persons or less,higher education,higher education,other,services,home,mother,less than 15 min.,5 to 10 hours,0,no,yes,no,no,yes,yes,yes,good,high,0,1
499,F,17,Rural,greater than 3 persons,higher education,primary education (4th grade),other,other,other,mother,less than 15 min.,less than 2 hours,0,no,no,no,no,yes,yes,yes,good,low,1,1
500,M,16,Urban,3 persons or less,5th to 9th grade,5th to 9th grade,services,services,other,mother,more than 1 hour,5 to 10 hours,0,no,no,no,no,yes,yes,no,excellent,very low,0,1
501,F,17,Rural,greater than 3 persons,5th to 9th grade,5th to 9th grade,at_home,other,other,mother,less than 15 min.,less than 2 hours,0,no,yes,yes,no,yes,yes,yes,excellent,very low,5,0
502,F,16,Urban,3 persons or less,higher education,higher education,services,services,other,father,15 to 30 min.,less than 2 hours,0,no,yes,no,no,yes,yes,no,excellent,very low,1,1
503,M,17,Urban,greater than 3 persons,secondary education,secondary education,services,services,home,mother,less than 15 min.,less than 2 hours,0,no,yes,no,yes,yes,yes,yes,good,very low,8,0
504,M,17,Urban,greater than 3 persons,primary education (4th grade),primary education (4th grade),at_home,services,other,mother,30 min. to 1 hour,2 to 5 hours,0,no,no,no,no,yes,yes,yes,excellent,very low,0,1
505,M,16,Urban,greater than 3 persons,5th to 9th grade,primary education (4th grade),health,services,other,mother,15 to 30 min.,2 to 5 hours,0,no,no,no,no,no,yes,yes,good,low,2,0
506,F,16,Urban,3 persons or less,5th to 9th grade,primary education (4th grade),other,services,other,mother,less than 15 min.,2 to 5 hours,0,no,no,no,no,yes,yes,yes,normal,low,0,1
507,M,16,Urban,3 persons or less,higher education,higher education,teacher,health,other,father,less than 15 min.,less than 2 hours,0,no,yes,no,no,yes,yes,yes,good,very low,0,1
508,M,15,Rural,greater than 3 persons,primary education (4th grade),5th to 9th grade,other,services,course,mother,30 min. to 1 hour,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,excellent,very high,11,1
509,M,15,Urban,3 persons or less,5th to 9th grade,5th to 9th grade,other,other,reputation,mother,30 min. to 1 hour,more than 10 hours,0,no,yes,no,yes,yes,yes,no,excellent,high,8,1
510,M,15,Urban,3 persons or less,5th to 9th grade,primary education (4th grade),services,services,course,mother,less than 15 min.,less than 2 hours,0,no,no,no,yes,yes,yes,yes,good,medium,11,1
511,F,16,Rural,3 persons or less,5th to 9th grade,5th to 9th grade,other,other,course,mother,less than 15 min.,5 to 10 hours,0,no,yes,no,no,no,yes,no,good,medium,2,1
512,F,16,Urban,3 persons or less,higher education,primary education (4th grade),other,other,home,mother,15 to 30 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,very bad,low,8,1
513,F,17,Urban,greater than 3 persons,secondary education,5th to 9th grade,at_home,other,home,mother,15 to 30 min.,less than 2 hours,0,no,no,no,no,yes,yes,no,good,medium,5,1
514,F,17,Rural,greater than 3 persons,5th to 9th grade,5th to 9th grade,other,other,other,mother,15 to 30 min.,2 to 5 hours,0,yes,no,yes,no,yes,yes,no,excellent,very low,0,1
515,F,16,Urban,greater than 3 persons,higher education,higher education,teacher,services,course,mother,15 to 30 min.,5 to 10 hours,0,no,yes,no,no,yes,yes,yes,excellent,medium,1,1
516,M,17,Rural,greater than 3 persons,higher education,higher education,health,other,course,father,30 min. to 1 hour,less than 2 hours,3,no,no,no,yes,yes,yes,yes,normal,medium,2,0
517,M,17,Rural,3 persons or less,primary education (4th grade),secondary education,other,other,course,father,15 to 30 min.,less than 2 hours,0,no,no,no,yes,yes,yes,no,excellent,very low,2,1
518,M,17,Urban,greater than 3 persons,secondary education,higher education,services,other,other,mother,less than 15 min.,2 to 5 hours,1,no,yes,no,yes,no,yes,yes,excellent,high,8,0
519,F,17,Urban,greater than 3 persons,higher education,higher education,health,health,course,father,less than 15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,excellent,low,0,1
520,M,16,Rural,3 persons or less,higher education,primary education (4th grade),other,at_home,other,father,less than 15 min.,less than 2 hours,0,no,no,no,no,yes,yes,yes,good,very low,0,1
521,F,17,Urban,greater than 3 persons,primary education (4th grade),primary education (4th grade),at_home,at_home,other,mother,less than 15 min.,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,good,very high,2,1
522,F,17,Rural,greater than 3 persons,higher education,5th to 9th grade,other,other,course,mother,15 to 30 min.,2 to 5 hours,0,yes,yes,no,no,no,yes,yes,good,medium,0,1
523,M,16,Urban,3 persons or less,5th to 9th grade,5th to 9th grade,other,services,course,father,15 to 30 min.,2 to 5 hours,0,no,yes,no,no,no,yes,yes,good,very low,0,1
524,M,17,Urban,greater than 3 persons,secondary education,5th to 9th grade,other,other,other,father,15 to 30 min.,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,good,very low,0,1
525,M,19,Urban,greater than 3 persons,primary education (4th grade),primary education (4th grade),other,other,other,mother,less than 15 min.,2 to 5 hours,2,no,yes,no,yes,yes,no,yes,good,high,2,1
526,M,17,Urban,3 persons or less,primary education (4th grade),none,other,other,home,mother,less than 15 min.,less than 2 hours,0,no,no,no,no,yes,yes,no,good,very low,4,1
527,F,17,Rural,greater than 3 persons,primary education (4th grade),primary education (4th grade),at_home,at_home,course,father,15 to 30 min.,less than 2 hours,0,no,yes,no,yes,yes,no,yes,normal,very high,3,1
528,F,16,Rural,greater than 3 persons,primary education (4th grade),5th to 9th grade,other,other,home,father,less than 15 min.,5 to 10 hours,0,yes,yes,no,no,no,yes,yes,good,medium,5,1
529,M,16,Rural,3 persons or less,primary education (4th grade),5th to 9th grade,other,at_home,course,mother,less than 15 min.,less than 2 hours,0,no,no,no,no,yes,yes,no,good,high,4,1
530,F,17,Rural,greater than 3 persons,secondary education,primary education (4th grade),other,other,course,mother,15 to 30 min.,2 to 5 hours,3,no,yes,no,yes,no,yes,yes,excellent,high,2,1
531,M,17,Rural,greater than 3 persons,5th to 9th grade,5th to 9th grade,other,other,course,mother,15 to 30 min.,less than 2 hours,0,no,no,no,yes,yes,no,no,excellent,very high,0,1
532,M,18,Rural,greater than 3 persons,primary education (4th grade),none,at_home,at_home,course,other,30 min. to 1 hour,less than 2 hours,1,yes,yes,no,no,yes,yes,no,good,medium,0,1
533,M,17,Rural,greater than 3 persons,primary education (4th grade),primary education (4th grade),other,services,course,mother,15 to 30 min.,less than 2 hours,0,no,yes,no,yes,no,yes,yes,good,very high,0,1
534,M,18,Urban,3 persons or less,primary education (4th grade),primary education (4th grade),at_home,at_home,course,mother,15 to 30 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,good,medium,6,1
535,F,16,Rural,3 persons or less,5th to 9th grade,5th to 9th grade,other,services,course,father,less than 15 min.,2 to 5 hours,0,no,no,no,yes,yes,yes,no,excellent,high,0,1
536,M,17,Urban,greater than 3 persons,5th to 9th grade,5th to 9th grade,other,other,course,mother,less than 15 min.,less than 2 hours,1,no,no,no,yes,yes,yes,no,very bad,low,0,0
537,M,16,Rural,greater than 3 persons,secondary education,5th to 9th grade,services,other,course,father,15 to 30 min.,less than 2 hours,0,no,no,no,no,yes,yes,yes,good,very high,2,1
538,M,16,Rural,3 persons or less,primary education (4th grade),primary education (4th grade),at_home,other,course,mother,15 to 30 min.,less than 2 hours,0,no,no,no,yes,yes,yes,yes,good,very high,0,0
539,M,18,Rural,greater than 3 persons,primary education (4th grade),primary education (4th grade),services,other,course,other,15 to 30 min.,less than 2 hours,1,no,yes,no,no,yes,no,yes,excellent,medium,2,0
540,M,18,Rural,greater than 3 persons,secondary education,5th to 9th grade,services,other,course,mother,less than 15 min.,less than 2 hours,1,no,no,no,no,yes,no,yes,bad,medium,0,0
541,M,19,Urban,greater than 3 persons,secondary education,5th to 9th grade,at_home,services,course,mother,15 to 30 min.,less than 2 hours,3,no,no,no,yes,yes,yes,no,normal,low,4,0
542,M,18,Urban,greater than 3 persons,secondary education,secondary education,at_home,at_home,course,mother,less than 15 min.,2 to 5 hours,2,no,yes,no,yes,yes,no,yes,good,high,9,0
543,M,16,Rural,greater than 3 persons,5th to 9th grade,5th to 9th grade,services,services,course,mother,15 to 30 min.,less than 2 hours,0,no,yes,no,yes,yes,yes,yes,excellent,high,6,0
544,M,19,Urban,greater than 3 persons,5th to 9th grade,primary education (4th grade),at_home,other,course,other,15 to 30 min.,less than 2 hours,3,no,no,no,yes,no,no,yes,good,high,4,0
545,F,16,Urban,greater than 3 persons,secondary education,5th to 9th grade,services,at_home,course,mother,15 to 30 min.,2 to 5 hours,2,no,yes,no,yes,yes,yes,no,bad,very high,8,0
546,F,17,Urban,greater than 3 persons,primary education (4th grade),primary education (4th grade),other,at_home,course,mother,less than 15 min.,less than 2 hours,0,no,yes,no,yes,yes,yes,no,good,medium,9,1
547,M,20,Rural,greater than 3 persons,primary education (4th grade),primary education (4th grade),other,other,course,other,15 to 30 min.,less than 2 hours,1,no,yes,no,no,yes,no,yes,good,high,12,1
548,F,18,Rural,greater than 3 persons,higher education,secondary education,services,services,course,mother,less than 15 min.,less than 2 hours,0,no,yes,no,no,yes,yes,yes,excellent,high,8,1
549,M,18,Rural,greater than 3 persons,secondary education,5th to 9th grade,other,other,course,mother,15 to 30 min.,less than 2 hours,0,no,yes,no,no,no,yes,yes,bad,very high,8,1
550,M,19,Rural,greater than 3 persons,primary education (4th grade),primary education (4th grade),other,services,home,other,30 min. to 1 hour,2 to 5 hours,1,no,no,no,no,yes,yes,yes,excellent,high,8,1
551,M,17,Urban,greater than 3 persons,secondary education,secondary education,health,other,course,mother,15 to 30 min.,2 to 5 hours,1,no,yes,no,no,yes,yes,yes,good,very high,4,1
552,M,18,Urban,3 persons or less,primary education (4th grade),secondary education,at_home,services,course,mother,less than 15 min.,less than 2 hours,0,no,no,no,no,yes,no,yes,good,medium,0,0
553,M,19,Rural,greater than 3 persons,primary education (4th grade),primary education (4th grade),other,other,home,other,30 min. to 1 hour,less than 2 hours,1,no,yes,no,no,yes,yes,yes,good,high,4,1
554,F,18,Urban,greater than 3 persons,primary education (4th grade),5th to 9th grade,at_home,other,course,mother,15 to 30 min.,2 to 5 hours,2,no,yes,no,no,yes,yes,no,good,medium,2,0
555,F,19,Urban,3 persons or less,primary education (4th grade),primary education (4th grade),at_home,other,course,mother,less than 15 min.,less than 2 hours,0,no,yes,no,no,yes,no,no,very bad,high,0,0
556,F,18,Rural,greater than 3 persons,5th to 9th grade,5th to 9th grade,other,other,other,mother,15 to 30 min.,less than 2 hours,1,no,no,no,no,yes,no,yes,excellent,very high,0,0
557,F,17,Rural,greater than 3 persons,none,,at_home,other,course,mother,15 to 30 min.,less than 2 hours,0,no,yes,no,no,yes,yes,yes,good,high,0,1
558,F,17,Rural,3 persons or less,secondary education,primary education (4th grade),other,at_home,course,other,15 to 30 min.,5 to 10 hours,0,no,yes,yes,no,yes,no,no,good,low,5,0
559,F,17,Urban,greater than 3 persons,higher education,5th to 9th grade,teacher,services,home,mother,less than 15 min.,2 to 5 hours,0,yes,yes,no,yes,yes,yes,yes,excellent,very high,0,0
560,F,18,Rural,3 persons or less,5th to 9th grade,5th to 9th grade,services,services,course,mother,less than 15 min.,2 to 5 hours,1,no,yes,no,yes,yes,yes,yes,bad,medium,3,0
561,F,17,Urban,greater than 3 persons,higher education,primary education (4th grade),health,at_home,course,mother,less than 15 min.,less than 2 hours,0,no,yes,no,no,yes,yes,no,normal,low,0,0
562,F,17,Urban,3 persons or less,primary education (4th grade),5th to 9th grade,at_home,other,course,father,less than 15 min.,less than 2 hours,0,no,no,no,no,yes,yes,yes,excellent,very high,0,1
563,F,18,Urban,greater than 3 persons,primary education (4th grade),primary education (4th grade),other,other,course,mother,30 min. to 1 hour,2 to 5 hours,2,no,no,no,yes,yes,yes,no,normal,high,3,0
564,F,18,Urban,greater than 3 persons,5th to 9th grade,5th to 9th grade,services,at_home,reputation,father,15 to 30 min.,2 to 5 hours,0,no,no,no,yes,no,yes,yes,good,medium,2,1
565,F,17,Urban,greater than 3 persons,secondary education,secondary education,services,services,course,mother,15 to 30 min.,less than 2 hours,0,no,yes,no,no,yes,yes,yes,good,high,0,1
566,F,18,Urban,3 persons or less,primary education (4th grade),5th to 9th grade,at_home,other,reputation,mother,15 to 30 min.,2 to 5 hours,0,no,no,no,no,yes,yes,yes,good,high,0,1
567,F,18,Urban,greater than 3 persons,higher education,higher education,teacher,teacher,reputation,mother,15 to 30 min.,2 to 5 hours,0,no,no,no,yes,no,yes,yes,good,medium,0,1
568,M,18,Urban,3 persons or less,higher education,higher education,services,other,reputation,mother,less than 15 min.,less than 2 hours,0,no,yes,no,yes,yes,yes,yes,excellent,high,3,1
569,F,17,Urban,greater than 3 persons,higher education,5th to 9th grade,other,other,course,mother,15 to 30 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,good,medium,0,1
570,F,18,Rural,greater than 3 persons,5th to 9th grade,5th to 9th grade,at_home,other,course,mother,30 min. to 1 hour,2 to 5 hours,1,no,no,no,yes,yes,yes,no,good,medium,0,0
571,M,18,Urban,3 persons or less,primary education (4th grade),5th to 9th grade,at_home,services,home,mother,15 to 30 min.,less than 2 hours,0,no,yes,no,no,no,yes,no,good,very low,8,1
572,M,18,Rural,greater than 3 persons,higher education,higher education,at_home,services,other,mother,30 min. to 1 hour,less than 2 hours,0,no,yes,yes,yes,yes,yes,yes,bad,very high,5,1
573,M,17,Rural,greater than 3 persons,primary education (4th grade),primary education (4th grade),other,services,other,father,30 min. to 1 hour,less than 2 hours,0,no,no,no,no,no,no,no,good,low,4,1
574,F,18,Urban,greater than 3 persons,5th to 9th grade,5th to 9th grade,other,other,course,mother,15 to 30 min.,2 to 5 hours,0,no,yes,no,no,no,yes,yes,very bad,medium,4,1
575,F,18,Urban,3 persons or less,5th to 9th grade,5th to 9th grade,services,services,course,father,15 to 30 min.,5 to 10 hours,0,no,no,no,no,yes,yes,yes,excellent,high,0,1
576,F,18,Rural,3 persons or less,higher education,5th to 9th grade,teacher,other,reputation,mother,less than 15 min.,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,excellent,medium,0,0
577,F,18,Urban,greater than 3 persons,primary education (4th grade),primary education (4th grade),at_home,services,course,mother,30 min. to 1 hour,2 to 5 hours,1,no,no,no,no,yes,no,no,good,high,2,1
578,F,19,Urban,greater than 3 persons,primary education (4th grade),primary education (4th grade),at_home,services,other,father,15 to 30 min.,less than 2 hours,1,no,no,no,no,yes,no,no,excellent,very high,0,0
579,F,17,Urban,greater than 3 persons,higher education,5th to 9th grade,teacher,other,course,father,15 to 30 min.,more than 10 hours,0,no,no,no,no,yes,yes,yes,good,low,0,1
580,F,17,Rural,3 persons or less,5th to 9th grade,primary education (4th grade),services,other,reputation,mother,15 to 30 min.,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,excellent,medium,5,1
581,F,18,Urban,3 persons or less,primary education (4th grade),primary education (4th grade),at_home,services,course,mother,less than 15 min.,2 to 5 hours,0,no,no,no,no,yes,yes,no,excellent,low,2,1
582,F,18,Urban,greater than 3 persons,primary education (4th grade),5th to 9th grade,at_home,at_home,course,father,15 to 30 min.,2 to 5 hours,0,no,yes,no,no,yes,no,no,good,very low,0,1
583,F,19,Rural,greater than 3 persons,primary education (4th grade),primary education (4th grade),at_home,at_home,course,other,15 to 30 min.,2 to 5 hours,3,no,yes,no,yes,yes,no,no,normal,very high,0,0
584,F,18,Rural,greater than 3 persons,5th to 9th grade,5th to 9th grade,services,other,home,mother,15 to 30 min.,5 to 10 hours,0,no,no,no,no,yes,yes,yes,good,low,5,1
585,M,17,Rural,greater than 3 persons,higher education,secondary education,services,other,home,mother,15 to 30 min.,2 to 5 hours,1,no,yes,yes,yes,no,yes,yes,good,very high,4,1
586,F,18,Urban,greater than 3 persons,secondary education,secondary education,services,services,course,father,less than 15 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,no,excellent,medium,0,1
587,F,17,Rural,greater than 3 persons,higher education,higher education,teacher,services,other,father,15 to 30 min.,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,good,medium,2,1
588,F,17,Urban,3 persons or less,secondary education,5th to 9th grade,services,other,reputation,,15 to 30 min.,2 to 5 hours,0,no,no,no,no,yes,yes,no,very bad,low,0,1
589,M,18,Urban,3 persons or less,primary education (4th grade),primary education (4th grade),other,services,home,father,15 to 30 min.,less than 2 hours,0,no,no,no,no,no,yes,yes,normal,medium,2,1
590,F,18,Urban,3 persons or less,primary education (4th grade),primary education (4th grade),at_home,services,course,father,15 to 30 min.,5 to 10 hours,0,no,no,no,no,yes,yes,yes,excellent,medium,0,1
591,F,18,Rural,3 persons or less,primary education (4th grade),5th to 9th grade,at_home,other,course,mother,30 min. to 1 hour,2 to 5 hours,0,no,no,no,no,yes,yes,no,good,medium,0,1
592,F,18,Urban,greater than 3 persons,secondary education,secondary education,services,services,other,mother,15 to 30 min.,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,good,medium,6,1
593,F,17,Urban,3 persons or less,higher education,higher education,at_home,at_home,course,mother,less than 15 min.,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,bad,medium,4,1
594,F,17,Rural,greater than 3 persons,primary education (4th grade),5th to 9th grade,other,services,course,father,15 to 30 min.,2 to 5 hours,0,no,no,no,no,no,yes,no,normal,low,0,1
595,M,18,Rural,greater than 3 persons,primary education (4th grade),secondary education,at_home,other,course,mother,15 to 30 min.,2 to 5 hours,0,no,yes,yes,no,yes,yes,no,normal,medium,0,0
596,M,18,Urban,3 persons or less,higher education,higher education,teacher,services,other,mother,15 to 30 min.,5 to 10 hours,0,no,no,no,no,yes,yes,yes,good,low,0,1
597,F,17,Rural,greater than 3 persons,primary education (4th grade),primary education (4th grade),other,services,reputation,mother,30 min. to 1 hour,less than 2 hours,1,no,yes,no,no,yes,yes,yes,excellent,low,0,0
598,F,18,Urban,greater than 3 persons,5th to 9th grade,secondary education,at_home,services,course,father,15 to 30 min.,less than 2 hours,0,no,yes,no,no,yes,yes,yes,excellent,low,0,1
599,F,18,Rural,greater than 3 persons,higher education,higher education,other,teacher,other,father,30 min. to 1 hour,2 to 5 hours,0,no,yes,no,no,no,yes,yes,normal,low,0,0
600,M,18,Rural,3 persons or less,primary education (4th grade),5th to 9th grade,at_home,services,other,father,30 min. to 1 hour,less than 2 hours,0,no,yes,no,yes,yes,no,yes,good,medium,3,1
